Ingredient,Substitute
all-purpose flour,maida
olive oil,groundnut oil
pepper,kashmiri red chilli powder
vegetable oil,sunflower oil
garlic powder,kasuri mehti
parmesan cheese,cottage cheese
soy sauce,aamchur powder
brown sugar,jaggery powder
walnuts,cashews
nutmeg,garam masala
pecans,almonds
chocolate chips,kishmish
mayonnaise,sour curd
red wine vinegar,tamarind juice
balsamic vinegar,tamarind juice
parsley,mint leaves
celery,curry leaves
cilantro,green coriander
sour cream,curd
shredded cheddar,cottage cheese
coleslaw,sambhara